anchor_cat,positive_cat,negative_cat
n01537544,n01494475,n02860847
n03018349,n01774750,n03903868
n04579432,n01630670,n04326547
n03250847,n01688243,n02641379
n02790996,n04540053,n03887697
n02494079,n02869837,n06794110
n02002724,n02127052,n02092339
n04141327,n03884397,n02137549
n02859443,n02231487,n15075141
n03657121,n03467068,n03461385
n02794156,n13044778,n01755581
n03461385,n03100240,n03452741
n02101388,n02104029,n02129165
n02480855,n04023962,n03417042
n01601694,n02489166,n04277352
n02834397,n02277742,n02111129
n03188531,n11939491,n03983396
n02391049,n03424325,n02927161
n02037110,n03478589,n15075141
n07892512,n04557648,n04326547
n02108422,n02325366,n02190166
n02692877,n02504013,n07720875
n01608432,n04275548,n02096437
n02116738,n03026506,n04442312
n04004767,n07920052,n03838899
n03495258,n02808304,n01580077
n04356056,n04548362,n02002556
n04254777,n02782093,n01558993
n03782006,n04356056,n03938244
n02096294,n02111129,n02980441
n02361337,n02102177,n01806143
n02130308,n12985857,n02088466
n02236044,n03372029,n07718747
n03544143,n03976657,n12144580
n07742313,n02489166,n03670208
n02782093,n04501370,n13133613
n01798484,n02108089,n04270147
n04254777,n03125729,n02120505
n03393912,n03792972,n04136333
n02113624,n01742172,n04270147
n09428293,n02165105,n04604644
n02107574,n02123045,n03776460
n07930864,n02119022,n03977966
n02206856,n01729977,n02113712
n03759954,n04153751,n01855672
n03938244,n02834397,n02120505
n04162706,n02090379,n02708093
n07684084,n04429376,n03661043
n03777568,n07753113,n04147183
n01440764,n01689811,n03014705
n02807133,n02056570,n02326432
n02113978,n02112137,n04008634
n12768682,n04310018,n02492660
n03372029,n03220513,n02012849
n03459775,n04228054,n03649909
n03769881,n03496892,n03207941
n01514859,n03710637,n04243546
n03729826,n04009552,n02777292
n02480495,n04523525,n04120489
n01664065,n04399382,n02114548
n01735189,n09256479,n02013706
n04200800,n03658185,n02110806
n04275548,n03899768,n04347754
n03467068,n02091134,n02056570
n04507155,n01693334,n04591713
n03803284,n04336792,n02950826
n03838899,n02268443,n02108089
n04485082,n02277742,n02097047
