anchor_cat,positive_cat,negative_cat
n01537544,n02088466,n02442845
n03018349,n03447721,n03388183
n04579432,n02138441,n02895154
n03250847,n07760859,n04277352
n02790996,n07831146,n02108089
n02494079,n01534433,n04125021
n02002724,n04311004,n03832673
n04141327,n04116512,n01797886
n02859443,n03208938,n01616318
n03657121,n03126707,n04209133
n02794156,n01694178,n02100877
n03461385,n04254120,n01847000
n02101388,n03089624,n01770081
n02480855,n01882714,n01924916
n01601694,n03743016,n02930766
n02834397,n02443114,n01531178
n03188531,n11939491,n06596364
n02391049,n04136333,n04584207
n02037110,n03908714,n02883205
n07892512,n07590611,n03109150
n02108422,n02607072,n02280649
n02692877,n03017168,n02033041
n01608432,n01667778,n03871628
n02116738,n04275548,n04136333
n04004767,n01755581,n02087046
n03495258,n01685808,n02100236
n04356056,n03000684,n02500267
n04254777,n02125311,n03916031
n03782006,n03530642,n02690373
n02096294,n02113624,n01630670
n02361337,n01734418,n02814533
n02130308,n01698640,n04141327
n02236044,n09246464,n03344393
n03544143,n03627232,n01629819
n07742313,n03255030,n01828970
n02782093,n04590129,n02802426
n01798484,n02877765,n07930864
n04254777,n03089624,n04355933
n03393912,n03457902,n04266014
n02113624,n03710193,n04259630
n09428293,n04005630,n03903868
n02107574,n02102480,n02113799
n07930864,n01689811,n02086910
n02206856,n03495258,n02104029
n03759954,n02666196,n01828970
n03938244,n02177972,n01629819
n04162706,n02109961,n04591157
n07684084,n01873310,n03877845
n03777568,n01694178,n02092002
n01440764,n01986214,n04239074
n02807133,n03814639,n03662601
n02113978,n02112137,n02102318
n12768682,n02417914,n04090263
n03372029,n01631663,n01843383
n03459775,n03255030,n02123394
n03769881,n02704792,n03207941
n01514859,n13133613,n01601694
n03729826,n04005630,n02091467
n02480495,n03000684,n07745940
n01664065,n04532106,n03976657
n01735189,n02172182,n02106382
n04200800,n02098105,n02814533
n04275548,n01756291,n04033995
n03467068,n03594734,n02096051
n04507155,n02445715,n02113023
n03803284,n03530642,n02120505
n03838899,n01532829,n04476259
n04485082,n04517823,n02112706
n02101388,n03127925,n01828970
n02442845,n03450230,n02105056
n04486054,n03255030,n04136333
n02123597,n01807496,n02708093
n04204238,n01693334,n04049303
n02447366,n02091134,n02500267
n02093991,n13052670,n04111531
n02006656,n01955084,n03180011
n02892201,n03929660,n02096437
n02085620,n03314780,n01537544
n03530642,n03124043,n07802026
n02099601,n02095314,n02113023
n03272010,n01984695,n03770679
n02667093,n03188531,n02791124
n02999410,n01751748,n04033995
n04579432,n02489166,n03777754
n02105162,n02134084,n09332890
n01675722,n03459775,n02229544
n09428293,n04026417,n09288635
n03980874,n02437616,n04552348
n02817516,n03134739,n02802426
n13133613,n01917289,n04033995
n04476259,n02009912,n03902125
n04579145,n01630670,n01847000
n04392985,n03691459,n01847000
n04376876,n07754684,n04347754
n01950731,n02177972,n02364673
n02089867,n07831146,n04429376
n09399592,n02417914,n02056570
n01728920,n03379051,n03642806
n04040759,n04111531,n03787032
n04612504,n03868242,n02093647
n02256656,n01755581,n09428293
n02033041,n02727426,n02480855
n03706229,n03208938,n02128385
n03706229,n02236044,n02676566
n03062245,n03259280,n02112706
n03942813,n04228054,n02100583
n01629819,n03876231,n02090622
n04065272,n02894605,n02808440
n04336792,n02510455,n04557648
n04554684,n02134084,n02105412
n03388183,n07836838,n07753592
n03065424,n03733805,n02966687
n02102480,n02699494,n04023962
n03804744,n02346627,n13133613
n02504458,n04325704,n04584207
n02108551,n02134084,n02480495
n02117135,n02086646,n02105641
n01955084,n03791053,n04141975
n07932039,n04200800,n09332890
n02108551,n03998194,n04239074
n01518878,n03379051,n07717410
n01498041,n01955084,n02917067
n02799071,n04599235,n03445777
n02701002,n03495258,n02100236
n03793489,n01882714,n03873416
n03804744,n01622779,n02951585
n07716358,n03908618,n02120079
n03208938,n03530642,n03761084
n02028035,n03724870,n03776460
n03532672,n04116512,n03355925
n07875152,n02966193,n04366367
n01843383,n02910353,n03983396
n03201208,n03259280,n03876231
n02108915,n02445715,n04447861
n03770679,n01756291,n02088094
n04356056,n04254777,n04270147
n02098413,n03691459,n02397096
n03532672,n02389026,n01770081
n02669723,n07693725,n02113023
n03481172,n03710721,n02025239
n02006656,n02174001,n01820546
n03127747,n07745940,n04251144
n02099429,n01669191,n02098286
n01774750,n03259280,n02823428
n04065272,n02415577,n03832673
n02871525,n07892512,n03095699
n04505470,n04074963,n04086273
n07720875,n02108915,n01531178
n02102973,n01644900,n04008634
n02096437,n02113186,n03729826
n02910353,n04204347,n03063689
n03042490,n01693334,n02802426
n02787622,n03759954,n02114367
n03742115,n03710193,n02106166
n03825788,n03627232,n01531178
n02795169,n11879895,n15075141
n04347754,n02910353,n02391049
n02107683,n07684084,n02814533
n02115913,n04040759,n02108000
n04090263,n02500267,n09288635
n04252077,n03584254,n01616318
n02395406,n03977966,n04347754
n01641577,n04033901,n04429376
n03956157,n02110958,n03297495
n03016953,n03223299,n02783161
n02978881,n02489166,n04239074
n02102318,n02509815,n02786058
n02777292,n12998815,n03938244
n03787032,n01675722,n02492035
n03868863,n01735189,n04592741
n02791124,n03146219,n03388183
n03764736,n03062245,n03527444
n06874185,n02835271,n03133878
n02504013,n02410509,n01675722
n01924916,n04589890,n01968897
n03775546,n07745940,n03133878
n03770439,n01753488,n03642806
n03956157,n04131690,n03485794
n02277742,n12985857,n04141327
n03721384,n02950826,n02974003
n04067472,n02177972,n04074963
n01943899,n02395406,n01734418
n04067472,n02177972,n02096585
n02009912,n01776313,n02807133
n02106550,n02951358,n02777292
n02100583,n04141975,n01820546
n02481823,n01756291,n03642806
n02165105,n01667114,n03838899
n02095570,n04263257,n03594945
n02002556,n02109047,n03793489
n02092002,n01943899,n02676566
n03709823,n03482405,n02640242
n02099712,n03930630,n04423845
n01496331,n01753488,n03661043
n03141823,n03857828,n02113023
n02112137,n02077923,n02099429
n04325704,n02102177,n09428293
n04487081,n02066245,n15075141
n04483307,n03461385,n02814533
n02927161,n03443371,n01531178
n02930766,n01945685,n03786901
n03666591,n01914609,n03832673
n01641577,n04252077,n04033995
n04152593,n07745940,n04371430
n02481823,n02094258,n03250847
n03075370,n02815834,n02917067
n04149813,n01774750,n04162706
n02870880,n02445715,n03146219
n01943899,n02892767,n04004767
n07730033,n03000684,n04270147
n02128925,n03530642,n04548280
n02795169,n02417914,n02906734
n02108000,n04418357,n02814533
n02007558,n01644373,n02788148
n02092339,n02363005,n04277352
n04366367,n02017213,n01682714
n01872401,n01883070,n02096585
n02992211,n01986214,n04380533
n03717622,n03916031,n02840245
n07745940,n01498041,n04409515
n02930766,n04208210,n04136333
n02127052,n01631663,n03970156
n04591157,n04310018,n03729826
n07613480,n03944341,n01687978
n03443371,n12768682,n04366367
n02107908,n03673027,n04447861
n04346328,n02226429,n02102040
n03857828,n01873310,n03933933
n02096585,n02107683,n02085936
n01532829,n04133789,n02444819
n02128757,n03131574,n02268853
n03141823,n03089624,n02701002
n03201208,n02129604,n04380533
n02879718,n02165105,n01820546
n02123045,n03240683,n02093991
n04418357,n03697007,n03347037
n02113624,n01806567,n03877472
n03690938,n01704323,n04332243
n04008634,n03063689,n03857828
n02077923,n09399592,n02794156
n04149813,n07693725,n01819313
n02814533,n04493381,n04417672
n03930313,n01514668,n03544143
n04458633,n03724870,n02951585
n01855032,n02108915,n04239074
n04285008,n07875152,n04049303
n02817516,n02951358,n02676566
n02877765,n02165105,n02105855
n01631663,n03372029,n03887697
n03938244,n13133613,n03876231
n03777754,n03045698,n02099429
n03290653,n09332890,n02091635
n03450230,n02108915,n02916936
n07693725,n04548362,n04141327
n03792782,n03743016,n02097209
n02105251,n03126707,n09468604
n03207941,n03100240,n01514668
n02894605,n12998815,n07717410
n04041544,n03476684,n03337140
n02321529,n02403003,n03793489
n03891251,n02328150,n02690373
n03773504,n03131574,n02641379
n03982430,n04350905,n02093647
n01773797,n02490219,n02992211
n02988304,n04553703,n03642806
n03814639,n02102177,n02326432
n01807496,n03841143,n03272562
n01532829,n13133613,n03527444
n02102177,n03124043,n03584829
n03743016,n02094433,n02114855
n02325366,n01695060,n04591713
n03126707,n03089624,n07248320
n04367480,n03444034,n03075370
n02793495,n02321529,n04141975
n02791124,n04040759,n03376595
n04328186,n04235860,n03494278
n03345487,n03710637,n02092339
n02128385,n03124043,n04550184
n02169497,n07836838,n07802026
n02871525,n04482393,n03980874
n02815834,n04264628,n02229544
n02231487,n02395406,n02099429
n09229709,n03868242,n02883205
n03706229,n07717556,n02494079
n03372029,n03290653,n01829413
n04252077,n02093754,n04209133
n03733281,n03384352,n03658185
n02090622,n07584110,n07753113
n03272010,n03249569,n03018349
n03924679,n04458633,n02093991
n03220513,n01984695,n04507155
n03089624,n03627232,n03452741
n01614925,n07873807,n03109150
n04141975,n02229544,n01675722
n07583066,n03384352,n02124075
n03133878,n02607072,n03770439
n03188531,n01945685,n02088238
n02110063,n01695060,n04552348
n07720875,n02892767,n02676566
n02172182,n12620546,n02091635
n11879895,n04465501,n03903868
n04039381,n13052670,n03494278
n04447861,n07579787,n02870880
n02790996,n03207743,n01682714
n03527444,n01829413,n02012849
n02276258,n07871810,n04476259
n03496892,n04310018,n04069434
n04592741,n03447721,n03854065
n02980441,n01985128,n03623198
n04099969,n01677366,n04049303
n02481823,n02966193,n02091635
n02939185,n03459775,n04265275
n03692522,n02108551,n04118776
n02835271,n02834397,n03933933
n02128385,n01616318,n02408429
n03617480,n02107908,n02009229
n03207941,n01534433,n02100236
n02328150,n01945685,n09332890
n13037406,n02105251,n02791124
n02488702,n01692333,n02236044
n03250847,n01580077,n01797886
n02037110,n04371430,n01558993
n01847000,n03400231,n01843065
n04154565,n03633091,n03594734
n02102177,n03124043,n03535780
n02488702,n01955084,n02236044
n04596742,n01910747,n03876231
n02101388,n04081281,n04127249
n03761084,n03459775,n04509417
n02672831,n04118538,n03761084
n01797886,n09193705,n02219486
n01665541,n01675722,n02492660
n03935335,n02641379,n03250847
n03980874,n03394916,n04136333
n02165456,n07697537,n02108422
n02776631,n03930630,n02058221
n02281787,n03538406,n04147183
n03075370,n04517823,n02129165
n01776313,n03676483,n01797886
n02977058,n03160309,n09332890
n01728920,n04152593,n02086910
n03733281,n02091467,n03933933
n03781244,n03127747,n02840245
n01968897,n07716358,n01667778
n03891251,n04443257,n02009229
n03590841,n03899768,n02229544
n03345487,n03347037,n01531178
n03743016,n02109525,n02105056
n03482405,n01873310,n02480855
n02492035,n04479046,n02112018
n01773549,n01945685,n02087394
n04162706,n03131574,n02119789
n02089867,n01978287,n02093991
n03201208,n04074963,n01944390
n02097209,n01768244,n02033041
n03792782,n06874185,n02895154
n03840681,n01872401,n03344393
n02326432,n02085620,n03924679
n03792972,n02403003,n01592084
n02804414,n04548362,n03250847
n03970156,n07583066,n03085013
n03935335,n02099849,n03792972
n13054560,n01631663,n04429376
n03950228,n02808440,n04486054
n02999410,n07718472,n02087046
n03697007,n02892201,n02138441
n01532829,n03534580,n03538406
n01616318,n01694178,n01494475
n02114367,n01930112,n04553703
n04458633,n01664065,n02916936
n03956157,n01784675,n07717410
n04456115,n02834397,n01682714
n02087394,n02268443,n03642806
n01739381,n01980166,n03950228
n04409515,n02536864,n03998194
n02113978,n02099267,n04326547
n02231487,n03495258,n04147183
n01820546,n06794110,n07892512
n04428191,n07717556,n04136333
n02795169,n02415577,n01687978
n02410509,n03220513,n02102040
n04311004,n03691459,n02114548
n03920288,n03788195,n02480495
n02389026,n02486261,n03000247
n03197337,n04517823,n02444819
n02108422,n03637318,n03777754
n03938244,n01917289,n03877845
n02102318,n02090379,n03196217
n03837869,n04371774,n04487081
n02281787,n02321529,n02415577
n01753488,n01751748,n03877845
n03690938,n02321529,n01847000
n02085936,n03804744,n02111277
n03891251,n01729977,n02112706
n03461385,n04254120,n01682714
n01729322,n03124170,n03445777
n07716358,n02988304,n04456115
n02109961,n02092002,n01843065
n02328150,n04517823,n02098413
n03998194,n03977966,n02268853
n03345487,n07718747,n02088632
n01682714,n02095570,n04270147
n07760859,n04483307,n03297495
n04311004,n03961711,n02091635
n01943899,n04326547,n02977058
n02791124,n03530642,n02129165
n02415577,n02488291,n02114855
n03534580,n04501370,n04435653
n02099601,n04380533,n02110806
n03942813,n03935335,n03297495
n04040759,n02112018,n03527444
n03131574,n02988304,n03670208
n02110627,n01756291,n07930864
n04273569,n02871525,n02437312
n04127249,n04550184,n02110806
n03018349,n01860187,n01531178
n03804744,n01729977,n02106382
n02098105,n03529860,n04311174
n02999410,n07718472,n02640242
n01641577,n04335435,n02108000
n03709823,n13037406,n07613480
n04355338,n03290653,n01796340
n04116512,n03670208,n03085013
n02112706,n07754684,n02051845
n01806143,n02992211,n02489166
n03498962,n03485794,n02917067
n02011460,n02115913,n02138441
n03832673,n04532106,n02093859
n02104365,n02097298,n03916031
n04417672,n02504458,n03697007
n02489166,n02793495,n02326432
n03126707,n07583066,n03876231
n02099712,n04131690,n02749479
n02058221,n03495258,n04090263
n02099267,n04357314,n04141327
n03538406,n07860988,n01440764
n03770439,n02999410,n02190166
n07615774,n02127052,n01843383
n03124170,n01984695,n04355338
n04009552,n02871525,n02087394
n03796401,n02132136,n02033041
n03496892,n01753488,n04429376
n02108000,n01751748,n03777568
n03197337,n01697457,n02094433
n02097658,n01978287,n04141327
n13040303,n01677366,n03532672
n03781244,n03384352,n02840245
n04599235,n02930766,n02099712
n02089973,n02018207,n02281406
n04252225,n01986214,n02319095
n02492660,n04254680,n04136333
n03868242,n02877765,n02107312
n04251144,n03733281,n04111531
n02110958,n04005630,n03297495
n03742115,n03016953,n02033041
n01749939,n07583066,n02113023
n03637318,n02437312,n03584254
n02099429,n01740131,n03014705
n03673027,n02395406,n03983396
n02099601,n07836838,n03291819
n03908618,n03201208,n02229544
n01860187,n02091635,n02100583
n03042490,n03461385,n01943899
n02090379,n01695060,n01667778
n04239074,n03825788,n04251144
n02123159,n07831146,n03532672
n06874185,n04399382,n01797886
n02088238,n02319095,n04487394
n03717622,n01955084,n02089973
n01833805,n01819313,n03877472
n02493509,n03840681,n02097209
n02092339,n07716358,n04118776
n04019541,n04065272,n02028035
n03877472,n03935335,n01531178
n04090263,n03854065,n02236044
n02892767,n02177972,n01770081
n02102318,n07565083,n03344393
n02356798,n07697537,n02094258
n02094114,n02364673,n04086273
n03494278,n01843065,n02437616
n02229544,n02105641,n04590129
n02328150,n13052670,n07248320
n04355933,n02264363,n04486054
n03967562,n01914609,n04355933
n02107312,n03000684,n04613696
n04254120,n02321529,n02917067
n04392985,n04099969,n02106382
n03425413,n13037406,n04380533
n02492035,n02066245,n04252225
n02437312,n03016953,n02109961
n01882714,n03958227,n02090622
n02799071,n02403003,n01632458
n03908714,n01877812,n02120079
n04485082,n02834397,n07930864
n04201297,n03599486,n12144580
n01491361,n07880968,n02033041
n07716358,n02116738,n04355338
n02486410,n01914609,n02096437
n02415577,n02101006,n04120489
n02116738,n02093428,n04592741
n03602883,n07695742,n01692333
n03891332,n03207743,n09288635
n02894605,n02395406,n04118776
n02776631,n03089624,n04008634
n02123394,n02125311,n02086240
n02319095,n01735189,n03776460
n01692333,n02769748,n03602883
n02093991,n01773157,n03980874
n09256479,n01770393,n03297495
n02840245,n02110806,n03658185
n06785654,n07932039,n04033995
n02112706,n02123159,n02443114
n02174001,n03691459,n09428293
n02137549,n03775546,n02086240
n02749479,n01498041,n04606251
n02093859,n02892767,n03494278
n07565083,n01986214,n02814860
n04589890,n03124043,n02268853
n09472597,n02066245,n02105251
n03706229,n02927161,n07802026
