anchor_cat,positive_cat,negative_cat
n01537544,n04033901,n02113186
n03018349,n04264628,n03680355
n04579432,n01498041,n02129604
n03250847,n01677366,n02493793
n02790996,n04090263,n03887697
n02494079,n02536864,n02100583
n02002724,n03876231,n04330267
n04141327,n03884397,n09421951
n02859443,n02966193,n15075141
n03657121,n04265275,n02129165
n02794156,n03983396,n02113978
n03461385,n09468604,n02096585
n02101388,n02104029,n03796401
n02480855,n04376876,n02100877
n01601694,n02782093,n04493381
n02834397,n02277742,n02326432
n03188531,n07760859,n02092339
n02391049,n01737021,n02089973
n02037110,n03478589,n01833805
n07892512,n07590611,n04120489
n02108422,n07760859,n03393912
n02692877,n01694178,n02107683
n01608432,n04149813,n04332243
n02116738,n01955084,n03207941
n04004767,n04501370,n03888257
n03495258,n02536864,n02056570
n04356056,n02093754,n02093991
n04254777,n03599486,n03877845
n03782006,n03404251,n04263257
n02096294,n07720875,n03733805
n02361337,n02106030,n02840245
n02130308,n02102318,n04486054
n02236044,n01871265,n02090622
n03544143,n02747177,n04049303
n07742313,n01687978,n02777292
n02782093,n03496892,n02326432
n01798484,n04376876,n07718747
n04254777,n01669191,n02096585
n03393912,n03133878,n01622779
n02113624,n01843383,n01697457
n09428293,n01978455,n02091467
n02107574,n07880968,n04493381
n07930864,n02091831,n02279972
n02206856,n01873310,n03657121
n03759954,n03792782,n01855672
n03938244,n04263257,n03777568
n04162706,n03492542,n01843065
n07684084,n02236044,n03661043
n03777568,n07753113,n02361337
n01440764,n04090263,n09428293
n02807133,n02056570,n07831146
n02113978,n02090721,n04069434
n12768682,n04367480,n04285008
n03372029,n03920288,n02667093
n03459775,n02877765,n03063599
n03769881,n02951358,n07734744
n01514859,n01742172,n03947888
n03729826,n03014705,n02777292
n02480495,n03825788,n04120489
n01664065,n01669191,n07892512
n01735189,n03425413,n02013706
n04200800,n02102177,n03733281
n04275548,n03042490,n03272010
n03467068,n13054560,n02124075
n04507155,n02843684,n01632458
n03803284,n03443371,n03208938
n03838899,n01882714,n02120505
n04485082,n04325704,n02097047
n02101388,n01614925,n02951585
n02442845,n02672831,n04428191
n04486054,n09399592,n03950228
n02123597,n04392985,n04486054
n04204238,n03089624,n03452741
n02447366,n02102318,n02500267
n02093991,n04370456,n03983396
n02006656,n07693725,n03930313
n02892201,n12985857,n02096294
n02085620,n02927161,n04344873
n03530642,n04275548,n02840245
n02099601,n01990800,n03794056
n03272010,n02102040,n07831146
n02667093,n02112018,n03658185
n02999410,n07584110,n04560804
n04579432,n03666591,n03134739
n02105162,n03787032,n02870880
n01675722,n01532829,n02109961
n09428293,n03792782,n01950731
n03980874,n03124043,n02486261
n02817516,n02104029,n04442312
n13133613,n03595614,n04591713
n04476259,n04579145,n04485082
n04579145,n02090379,n04562935
n04392985,n06596364,n03344393
n04376876,n01735189,n01986214
n01950731,n01729977,n07892512
n02089867,n03461385,n03924679
n09399592,n03891332,n01537544
n01728920,n02966193,n02443114
n04040759,n02871525,n02086240
n04612504,n04099969,n02114367
n02256656,n03770439,n09428293
n02033041,n02089867,n02106662
n03706229,n03884397,n02088094
n03706229,n02916936,n03908714
n03062245,n02051845,n04552348
n03942813,n04099969,n07579787
n01629819,n02892767,n02747177
n04065272,n01930112,n02113799
n04336792,n03782006,n02823428
n04554684,n03929855,n02124075
n03388183,n04254120,n03032252
n03065424,n04275548,n03710637
n02102480,n02701002,n03063689
n03804744,n04522168,n02095570
n02504458,n02256656,n03133878
n02108551,n03944341,n04548280
n02117135,n01797886,n03127925
n01955084,n13040303,n02085936
n07932039,n01914609,n03775546
n02108551,n04067472,n02281406
n01518878,n02607072,n04389033
n01498041,n01518878,n01531178
n02799071,n07730033,n01770081
n02701002,n04429376,n02676566
n03793489,n03259280,n02033041
n03804744,n12985857,n02229544
n07716358,n04328186,n02099267
n03208938,n04326547,n03666591
n02028035,n03047690,n03895866
n03532672,n07720875,n02099429
n07875152,n02123597,n02013706
n01843383,n02105251,n02106166
n03201208,n07892512,n02494079
n02108915,n01990800,n01797886
n03770679,n03761084,n02871525
n04356056,n02123597,n02999410
n02098413,n01883070,n02835271
n03532672,n07860988,n04442312
n02669723,n02127052,n04141327
n03481172,n02423022,n01675722
n02006656,n01518878,n04004767
n03127747,n03042490,n02120079
n02099429,n02481823,n02092002
n01774750,n02504013,n03857828
n04065272,n04485082,n02109961
n02871525,n03544143,n04505470
n04505470,n02930766,n02480855
n07720875,n02088632,n03085013
n02102973,n04550184,n02667093
n02096437,n04579432,n01692333
n02910353,n04355338,n03617480
n03042490,n04070727,n03065424
n02787622,n04033901,n03657121
n03742115,n03016953,n01820546
n03825788,n04509417,n01820546
n02795169,n03785016,n15075141
n04347754,n03590841,n03146219
n02107683,n02892767,n03733805
n02115913,n03710193,n04033995
n04090263,n02808304,n02097047
n04252077,n02793495,n02102480
n02395406,n04350905,n04604644
