anchor_cat,positive_cat,negative_cat
n01537544,n02815834,n02794156
n03018349,n03929660,n04486054
n04579432,n01440764,n02493793
n03250847,n04579432,n02493793
n02790996,n01944390,n04239074
n02494079,n02112018,n03063689
n02002724,n01871265,n01847000
n04141327,n02091831,n02107574
n02859443,n01697457,n04548280
n03657121,n02454379,n03461385
n02794156,n01728572,n03584829
n03461385,n02007558,n04596742
n02101388,n02487347,n04141327
n02480855,n04023962,n01855672
n01601694,n02037110,n04423845
n02834397,n03534580,n02128925
n03188531,n03041632,n03272562
n02391049,n03134739,n03494278
n02037110,n02391049,n03467068
n07892512,n04557648,n03075370
n02108422,n03995372,n07860988
n02692877,n03125729,n02895154
n01608432,n07742313,n02096437
n02116738,n01729977,n04136333
n04004767,n02086646,n02791270
n03495258,n04560804,n03877845
n04356056,n02089867,n03457902
n04254777,n03841143,n03661043
n03782006,n02687172,n02027492
n02096294,n02105505,n04033995
n02361337,n03976657,n02012849
n02130308,n02971356,n03956157
n02236044,n02799071,n02977058
n03544143,n01644373,n03109150
n07742313,n03594734,n03877845
n02782093,n04040759,n01682714
n01798484,n02108089,n03642806
n04254777,n03876231,n01820546
n03393912,n03272562,n02094258
n02113624,n04479046,n04239074
n09428293,n06359193,n03895866
n02107574,n02417914,n03759954
n07930864,n03133878,n02123045
n02206856,n04376876,n02229544
n03759954,n01687978,n06596364
n03938244,n03954731,n02119789
n04162706,n02328150,n02981792
n07684084,n04127249,n03877845
n03777568,n02356798,n02883205
n01440764,n01689811,n03014705
n02807133,n01688243,n03776460
n02113978,n02536864,n03063689
n12768682,n03837869,n04486054
n03372029,n04536866,n04008634
n03459775,n03937543,n03775071
n03769881,n02113186,n03207941
n01514859,n03888605,n04486054
n03729826,n03240683,n15075141
n02480495,n04285008,n04476259
n01664065,n02841315,n04049303
n01735189,n09256479,n04417672
n04200800,n01910747,n03733281
n04275548,n01496331,n02105056
n03467068,n03657121,n02168699
n04507155,n02910353,n02099712
n03803284,n01945685,n02097474
n03838899,n02484975,n04179913
n04485082,n01944390,n02097047
n02101388,n04228054,n01820546
n02442845,n02415577,n07579787
n04486054,n09399592,n02483362
n02123597,n04428191,n01817953
n04204238,n02128385,n02106166
n02447366,n02086079,n02493509
n02093991,n02328150,n03075370
n02006656,n02445715,n04004767
n02892201,n02177972,n02111500
n02085620,n03868863,n03991062
n03530642,n03804744,n01514668
n02099601,n02488291,n03201208
n03272010,n03814906,n02107908
